cena_brutto;id
13,36;43722
13,36;43720
13,36;43721
13,36;43723
;
3,76;
3,76;
3,76;
3,76;
3,76;
3,76;
3,76;
3,76;54040
3,76;
3,76;
3,76;
3,76;
;
3,24;
3,24;
3,24;
3,24;
3,24;
3,24;
26,26;
2,37;42499
2,37;42502
2,37;42505
2,37;42504
2,37;42498
2,37;42500
26,26;
2,37;
2,37;
2,37;49905
2,37;
2,37;
2,37;
;
10,02;43647
41,62;43646
101,35;43645
10,80;43653
43,68;43652
108,44;43651
10,02;43650
41,62;43649
101,35;43648
10,02;43631
41,62;43629
101,35;43630
10,80;43656
43,68;43655
108,44;43654
10,02;43659
41,62;43658
101,35;43657
10,80;43634
43,68;43633
108,44;43632
11,75;43641
45,69;43640
112,42;43639
10,02;43638
41,62;43637
101,35;43636
10,02;43644
41,62;43643
101,35;43642
;
7,65;37231
7,65;37232
7,65;37236
7,65;37237
7,65;37230
7,65;37238
7,65;
7,65;37240
7,65;
7,65;37242
;
9,02;20454
31,26;20456
104,63;20457
9,02;20458
31,26;20459
104,63;20460
9,44;20461
34,02;20462
109,16;20463
9,44;20464
34,02;20466
109,16;20467
9,44;20469
34,02;20470
109,16;20471
9,02;20473
31,26;20474
104,63;20476
;
2,26;42206
2,26;42205
2,26;42308
2,26;42204
2,26;42203
2,26;42202
;
29,17;21591
23,31;
42,74;
69,94;
;
14,79;40108
39,46;7837
133,63;6600
15,19;22270
39,46;14823
92,09;6598
14,81;40109
42,44;14824
135,61;11390
14,64;40110
42,76;14826
135,61;11392
15,89;40111
43,44;14344
145,75;11774
15,57;22273
42,62;11412
142,86;6606
15,96;40112
43,76;14830
146,92;11391
16,28;
44,66;14828
150,12;11767
16,59;22274
45,42;14846
152,93;11789
15,89;40113
43,34;11419
145,45;11832
15,62;40114
42,76;3455
141,29;3454
14,83;22271
39,46;8871
131,64;6599
15,62;22272
42,76;9006
141,29;9011
14,79;40092
39,46;14368
131,64;6607
17,64;40052
43,66;14719
153,34;13009
15,69;40116
42,63;11416
135,61;11100
;
34,04;11199
21,77;16680
25,90;16161
;
1,45;11945
1,45;11947
1,45;11946
1,45;11177
1,45;11949
1,45;11948
15,69;
5,27;
5,27;
;
5,62;
10,74;
17,83;
70,05;
5,62;
10,74;
17,83;
70,05;
5,62;
10,74;
17,83;14218
70,05;
5,62;
10,74;
17,83;
70,05;
5,62;
10,74;
17,83;
70,05;
5,62;
10,74;
17,83;
70,05;
5,62;
10,74;
17,83;15578
70,05;
5,62;
10,74;
17,83;
70,05;
;
1,45;
1,45;
1,45;
1,45;
1,45;
1,45;
1,45;
1,45;
1,45;
1,45;
5,22;25963
15,39;
5,22;25970
15,39;
0,00;
3,25;
3,25;
3,25;
3,25;
3,25;
3,25;
14,29;
7,85;44751
14,29;
7,85;44752
14,29;
7,85;44747
7,85;44745
7,85;44741
7,85;44746
14,29;
7,85;44742
7,85;44750
8,34;44748
7,85;44743
14,29;
7,85;44749
14,94;
8,34;44744
;
4,83;
4,83;
4,83;
4,83;
4,83;
4,83;
4,83;
4,83;
;
4,16;
7,13;
4,16;
7,13;
4,16;
7,13;
4,16;
7,13;
4,16;
7,13;
4,16;
7,13;
4,16;
7,13;26909
4,16;
7,13;
4,16;
7,13;
;
3,61;
3,61;
3,61;
;
3,97;
3,97;
3,97;
3,97;
3,97;
3,97;
;
3,11;
3,11;35453
3,11;35449
3,11;35456
3,11;35458
3,11;35460
5,46;35445
5,46;35463
5,46;35446
5,46;43290
5,46;
5,46;41717
;
27,27;22371
57,12;22372
100,86;22373
28,30;22369
109,82;22370
27,27;22374
100,86;22375
26,03;22380
94,70;22381
9,20;22361
26,39;22362
56,11;22363
97,04;22364
9,92;22358
28,30;22359
109,82;22360
13,31;22355
27,27;22356
66,58;22357
13,81;22351
28,40;22353
70,43;22354
13,03;22365
26,39;22366
64,65;22367
97,04;22368
11,60;22382
33,22;22383
69,34;22384
127,33;22385
27,53;22386
105,23;22387
27,51;22378
104,20;22379
28,28;22376
109,82;22377
;
2,18;26913
2,18;
2,18;26915
;
5,12;25255
5,12;
5,12;22441
5,12;33035
5,12;
5,12;33930
5,12;22444
5,12;
;
7,96;
15,06;
5,35;
7,96;
5,35;
7,96;
5,35;
7,96;
7,96;
15,06;
;
21,68;
6,94;38853
6,94;38854
21,68;38857
6,94;38856
21,68;41233
6,94;38858
6,34;40215
0,91;38851
21,68;47360
6,34;38834
6,34;38837
0,91;38852
6,34;
21,68;
6,34;38845
6,34;
6,34;44234
0,91;46243
6,34;
8,52;
6,34;38847
6,34;
